event,date,producto_relacionado
New Year's Day,2025-01-01,Aguacate Hass
New Year's Day,2025-01-01,Lima
New Year's Day,2025-01-01,Refresco limón 600 ml
New Year's Day,2025-01-01,Mandarina
New Year's Day,2025-01-01,Jugo de naranja 1 L
New Year's Day,2025-01-01,Papaya
New Year's Day,2025-01-01,Piña
New Year's Day,2025-01-01,Plátano
New Year's Day,2025-01-01,Tamarindo
New Year's Day,2025-01-01,Toronja (pomelo)
New Year's Day,2025-01-01,Zapote negro
New Year's Day,2025-01-01,Acelga
New Year's Day,2025-01-01,Ajo
New Year's Day,2025-01-01,Berenjena
New Year's Day,2025-01-01,Betabel
New Year's Day,2025-01-01,Calabacita
New Year's Day,2025-01-01,Cebolla
New Year's Day,2025-01-01,Chile verde (jalapeño/serrano)
New Year's Day,2025-01-01,Col (repollo)
New Year's Day,2025-01-01,Coliflor
New Year's Day,2025-01-01,Espinaca
New Year's Day,2025-01-01,Jitomate (tomate rojo)
New Year's Day,2025-01-01,Lechuga
New Year's Day,2025-01-01,Papas fritas clásicas 170 g
New Year's Day,2025-01-01,Pepino
New Year's Day,2025-01-01,Tomate verde (tomatillo)
New Year's Day,2025-01-01,Zanahoria
Day of the Holy Kings,2025-01-06,Aguacate Hass
Day of the Holy Kings,2025-01-06,Lima
Day of the Holy Kings,2025-01-06,Refresco limón 600 ml
Day of the Holy Kings,2025-01-06,Mandarina
Day of the Holy Kings,2025-01-06,Jugo de naranja 1 L
Day of the Holy Kings,2025-01-06,Papaya
Day of the Holy Kings,2025-01-06,Piña
Day of the Holy Kings,2025-01-06,Plátano
Day of the Holy Kings,2025-01-06,Tamarindo
Day of the Holy Kings,2025-01-06,Toronja (pomelo)
Day of the Holy Kings,2025-01-06,Zapote negro
Day of the Holy Kings,2025-01-06,Acelga
Day of the Holy Kings,2025-01-06,Ajo
Day of the Holy Kings,2025-01-06,Berenjena
Day of the Holy Kings,2025-01-06,Betabel
Day of the Holy Kings,2025-01-06,Calabacita
Day of the Holy Kings,2025-01-06,Cebolla
Day of the Holy Kings,2025-01-06,Chile verde (jalapeño/serrano)
Day of the Holy Kings,2025-01-06,Col (repollo)
Day of the Holy Kings,2025-01-06,Coliflor
Day of the Holy Kings,2025-01-06,Espinaca
Day of the Holy Kings,2025-01-06,Jitomate (tomate rojo)
Day of the Holy Kings,2025-01-06,Lechuga
Day of the Holy Kings,2025-01-06,Papas fritas clásicas 170 g
Day of the Holy Kings,2025-01-06,Pepino
Day of the Holy Kings,2025-01-06,Tomate verde (tomatillo)
Day of the Holy Kings,2025-01-06,Zanahoria
Candlemas,2025-02-02,Aguacate Hass
Candlemas,2025-02-02,Lima
Candlemas,2025-02-02,Refresco limón 600 ml
Candlemas,2025-02-02,Mandarina
Candlemas,2025-02-02,Jugo de naranja 1 L
Candlemas,2025-02-02,Papaya
Candlemas,2025-02-02,Piña
Candlemas,2025-02-02,Plátano
Candlemas,2025-02-02,Tamarindo
Candlemas,2025-02-02,Toronja (pomelo)
Candlemas,2025-02-02,Acelga
Candlemas,2025-02-02,Ajo
Candlemas,2025-02-02,Berenjena
Candlemas,2025-02-02,Betabel
Candlemas,2025-02-02,Calabacita
Candlemas,2025-02-02,Cebolla
Candlemas,2025-02-02,Chile verde (jalapeño/serrano)
Candlemas,2025-02-02,Col (repollo)
Candlemas,2025-02-02,Coliflor
Candlemas,2025-02-02,Ejote
Candlemas,2025-02-02,Espinaca
Candlemas,2025-02-02,Jitomate (tomate rojo)
Candlemas,2025-02-02,Lechuga
Candlemas,2025-02-02,Papas fritas clásicas 170 g
Candlemas,2025-02-02,Pepino
Candlemas,2025-02-02,Tomate verde (tomatillo)
Candlemas,2025-02-02,Zanahoria
Constitution Day,2025-02-03,Aguacate Hass
Constitution Day,2025-02-03,Lima
Constitution Day,2025-02-03,Refresco limón 600 ml
Constitution Day,2025-02-03,Mandarina
Constitution Day,2025-02-03,Jugo de naranja 1 L
Constitution Day,2025-02-03,Papaya
Constitution Day,2025-02-03,Piña
Constitution Day,2025-02-03,Plátano
Constitution Day,2025-02-03,Tamarindo
Constitution Day,2025-02-03,Toronja (pomelo)
Constitution Day,2025-02-03,Acelga
Constitution Day,2025-02-03,Ajo
Constitution Day,2025-02-03,Berenjena
Constitution Day,2025-02-03,Betabel
Constitution Day,2025-02-03,Calabacita
Constitution Day,2025-02-03,Cebolla
Constitution Day,2025-02-03,Chile verde (jalapeño/serrano)
Constitution Day,2025-02-03,Col (repollo)
Constitution Day,2025-02-03,Coliflor
Constitution Day,2025-02-03,Ejote
Constitution Day,2025-02-03,Espinaca
Constitution Day,2025-02-03,Jitomate (tomate rojo)
Constitution Day,2025-02-03,Lechuga
Constitution Day,2025-02-03,Papas fritas clásicas 170 g
Constitution Day,2025-02-03,Pepino
Constitution Day,2025-02-03,Tomate verde (tomatillo)
Constitution Day,2025-02-03,Zanahoria
Constitution Day,2025-02-05,Aguacate Hass
Constitution Day,2025-02-05,Lima
Constitution Day,2025-02-05,Refresco limón 600 ml
Constitution Day,2025-02-05,Mandarina
Constitution Day,2025-02-05,Jugo de naranja 1 L
Constitution Day,2025-02-05,Papaya
Constitution Day,2025-02-05,Piña
Constitution Day,2025-02-05,Plátano
Constitution Day,2025-02-05,Tamarindo
Constitution Day,2025-02-05,Toronja (pomelo)
Constitution Day,2025-02-05,Acelga
Constitution Day,2025-02-05,Ajo
Constitution Day,2025-02-05,Berenjena
Constitution Day,2025-02-05,Betabel
Constitution Day,2025-02-05,Calabacita
Constitution Day,2025-02-05,Cebolla
Constitution Day,2025-02-05,Chile verde (jalapeño/serrano)
Constitution Day,2025-02-05,Col (repollo)
Constitution Day,2025-02-05,Coliflor
Constitution Day,2025-02-05,Ejote
Constitution Day,2025-02-05,Espinaca
Constitution Day,2025-02-05,Jitomate (tomate rojo)
Constitution Day,2025-02-05,Lechuga
Constitution Day,2025-02-05,Papas fritas clásicas 170 g
Constitution Day,2025-02-05,Pepino
Constitution Day,2025-02-05,Tomate verde (tomatillo)
Constitution Day,2025-02-05,Zanahoria
Valentine's Day,2025-02-14,Aguacate Hass
Valentine's Day,2025-02-14,Lima
Valentine's Day,2025-02-14,Refresco limón 600 ml
Valentine's Day,2025-02-14,Mandarina
Valentine's Day,2025-02-14,Jugo de naranja 1 L
Valentine's Day,2025-02-14,Papaya
Valentine's Day,2025-02-14,Piña
Valentine's Day,2025-02-14,Plátano
Valentine's Day,2025-02-14,Tamarindo
Valentine's Day,2025-02-14,Toronja (pomelo)
Valentine's Day,2025-02-14,Acelga
Valentine's Day,2025-02-14,Ajo
Valentine's Day,2025-02-14,Berenjena
Valentine's Day,2025-02-14,Betabel
Valentine's Day,2025-02-14,Calabacita
Valentine's Day,2025-02-14,Cebolla
Valentine's Day,2025-02-14,Chile verde (jalapeño/serrano)
Valentine's Day,2025-02-14,Col (repollo)
Valentine's Day,2025-02-14,Coliflor
Valentine's Day,2025-02-14,Ejote
Valentine's Day,2025-02-14,Espinaca
Valentine's Day,2025-02-14,Jitomate (tomate rojo)
Valentine's Day,2025-02-14,Lechuga
Valentine's Day,2025-02-14,Papas fritas clásicas 170 g
Valentine's Day,2025-02-14,Pepino
Valentine's Day,2025-02-14,Tomate verde (tomatillo)
Valentine's Day,2025-02-14,Zanahoria
Flag Day,2025-02-24,Aguacate Hass
Flag Day,2025-02-24,Lima
Flag Day,2025-02-24,Refresco limón 600 ml
Flag Day,2025-02-24,Mandarina
Flag Day,2025-02-24,Jugo de naranja 1 L
Flag Day,2025-02-24,Papaya
Flag Day,2025-02-24,Piña
Flag Day,2025-02-24,Plátano
Flag Day,2025-02-24,Tamarindo
Flag Day,2025-02-24,Toronja (pomelo)
Flag Day,2025-02-24,Acelga
Flag Day,2025-02-24,Ajo
Flag Day,2025-02-24,Berenjena
Flag Day,2025-02-24,Betabel
Flag Day,2025-02-24,Calabacita
Flag Day,2025-02-24,Cebolla
Flag Day,2025-02-24,Chile verde (jalapeño/serrano)
Flag Day,2025-02-24,Col (repollo)
Flag Day,2025-02-24,Coliflor
Flag Day,2025-02-24,Ejote
Flag Day,2025-02-24,Espinaca
Flag Day,2025-02-24,Jitomate (tomate rojo)
Flag Day,2025-02-24,Lechuga
Flag Day,2025-02-24,Papas fritas clásicas 170 g
Flag Day,2025-02-24,Pepino
Flag Day,2025-02-24,Tomate verde (tomatillo)
Flag Day,2025-02-24,Zanahoria
Ash Wednesday,2025-03-05,Aguacate Hass
Ash Wednesday,2025-03-05,Lima
Ash Wednesday,2025-03-05,Refresco limón 600 ml
Ash Wednesday,2025-03-05,Mandarina
Ash Wednesday,2025-03-05,Jugo de naranja 1 L
Ash Wednesday,2025-03-05,Papaya
Ash Wednesday,2025-03-05,Piña
Ash Wednesday,2025-03-05,Plátano
Ash Wednesday,2025-03-05,Sandía
Ash Wednesday,2025-03-05,Tamarindo
Ash Wednesday,2025-03-05,Toronja (pomelo)
Ash Wednesday,2025-03-05,Acelga
Ash Wednesday,2025-03-05,Ajo
Ash Wednesday,2025-03-05,Berenjena
Ash Wednesday,2025-03-05,Betabel
Ash Wednesday,2025-03-05,Calabacita
Ash Wednesday,2025-03-05,Cebolla
Ash Wednesday,2025-03-05,Chile verde (jalapeño/serrano)
Ash Wednesday,2025-03-05,Col (repollo)
Ash Wednesday,2025-03-05,Coliflor
Ash Wednesday,2025-03-05,Ejote
Ash Wednesday,2025-03-05,Elote (maíz tierno)
Ash Wednesday,2025-03-05,Espinaca
Ash Wednesday,2025-03-05,Jitomate (tomate rojo)
Ash Wednesday,2025-03-05,Lechuga
Ash Wednesday,2025-03-05,Nopal
Ash Wednesday,2025-03-05,Papas fritas clásicas 170 g
Ash Wednesday,2025-03-05,Pepino
Ash Wednesday,2025-03-05,Tomate verde (tomatillo)
Ash Wednesday,2025-03-05,Zanahoria
Benito Juárez's Birthday Memorial,2025-03-17,Aguacate Hass
Benito Juárez's Birthday Memorial,2025-03-17,Lima
Benito Juárez's Birthday Memorial,2025-03-17,Refresco limón 600 ml
Benito Juárez's Birthday Memorial,2025-03-17,Mandarina
Benito Juárez's Birthday Memorial,2025-03-17,Jugo de naranja 1 L
Benito Juárez's Birthday Memorial,2025-03-17,Papaya
Benito Juárez's Birthday Memorial,2025-03-17,Piña
Benito Juárez's Birthday Memorial,2025-03-17,Plátano
Benito Juárez's Birthday Memorial,2025-03-17,Sandía
Benito Juárez's Birthday Memorial,2025-03-17,Tamarindo
Benito Juárez's Birthday Memorial,2025-03-17,Toronja (pomelo)
Benito Juárez's Birthday Memorial,2025-03-17,Acelga
Benito Juárez's Birthday Memorial,2025-03-17,Ajo
Benito Juárez's Birthday Memorial,2025-03-17,Berenjena
Benito Juárez's Birthday Memorial,2025-03-17,Betabel
Benito Juárez's Birthday Memorial,2025-03-17,Calabacita
Benito Juárez's Birthday Memorial,2025-03-17,Cebolla
Benito Juárez's Birthday Memorial,2025-03-17,Chile verde (jalapeño/serrano)
Benito Juárez's Birthday Memorial,2025-03-17,Col (repollo)
Benito Juárez's Birthday Memorial,2025-03-17,Coliflor
Benito Juárez's Birthday Memorial,2025-03-17,Ejote
Benito Juárez's Birthday Memorial,2025-03-17,Elote (maíz tierno)
Benito Juárez's Birthday Memorial,2025-03-17,Espinaca
Benito Juárez's Birthday Memorial,2025-03-17,Jitomate (tomate rojo)
Benito Juárez's Birthday Memorial,2025-03-17,Lechuga
Benito Juárez's Birthday Memorial,2025-03-17,Nopal
Benito Juárez's Birthday Memorial,2025-03-17,Papas fritas clásicas 170 g
Benito Juárez's Birthday Memorial,2025-03-17,Pepino
Benito Juárez's Birthday Memorial,2025-03-17,Tomate verde (tomatillo)
Benito Juárez's Birthday Memorial,2025-03-17,Zanahoria
Oil Expropriation Day,2025-03-18,Aguacate Hass
Oil Expropriation Day,2025-03-18,Lima
Oil Expropriation Day,2025-03-18,Refresco limón 600 ml
Oil Expropriation Day,2025-03-18,Mandarina
Oil Expropriation Day,2025-03-18,Jugo de naranja 1 L
Oil Expropriation Day,2025-03-18,Papaya
Oil Expropriation Day,2025-03-18,Piña
Oil Expropriation Day,2025-03-18,Plátano
Oil Expropriation Day,2025-03-18,Sandía
Oil Expropriation Day,2025-03-18,Tamarindo
Oil Expropriation Day,2025-03-18,Toronja (pomelo)
Oil Expropriation Day,2025-03-18,Acelga
Oil Expropriation Day,2025-03-18,Ajo
Oil Expropriation Day,2025-03-18,Berenjena
Oil Expropriation Day,2025-03-18,Betabel
Oil Expropriation Day,2025-03-18,Calabacita
Oil Expropriation Day,2025-03-18,Cebolla
Oil Expropriation Day,2025-03-18,Chile verde (jalapeño/serrano)
Oil Expropriation Day,2025-03-18,Col (repollo)
Oil Expropriation Day,2025-03-18,Coliflor
Oil Expropriation Day,2025-03-18,Ejote
Oil Expropriation Day,2025-03-18,Elote (maíz tierno)
Oil Expropriation Day,2025-03-18,Espinaca
Oil Expropriation Day,2025-03-18,Jitomate (tomate rojo)
Oil Expropriation Day,2025-03-18,Lechuga
Oil Expropriation Day,2025-03-18,Nopal
Oil Expropriation Day,2025-03-18,Papas fritas clásicas 170 g
Oil Expropriation Day,2025-03-18,Pepino
Oil Expropriation Day,2025-03-18,Tomate verde (tomatillo)
Oil Expropriation Day,2025-03-18,Zanahoria
March Equinox,2025-03-20,Aguacate Hass
March Equinox,2025-03-20,Lima
March Equinox,2025-03-20,Refresco limón 600 ml
March Equinox,2025-03-20,Mandarina
March Equinox,2025-03-20,Jugo de naranja 1 L
March Equinox,2025-03-20,Papaya
March Equinox,2025-03-20,Piña
March Equinox,2025-03-20,Plátano
March Equinox,2025-03-20,Sandía
March Equinox,2025-03-20,Tamarindo
March Equinox,2025-03-20,Toronja (pomelo)
March Equinox,2025-03-20,Acelga
March Equinox,2025-03-20,Ajo
March Equinox,2025-03-20,Berenjena
March Equinox,2025-03-20,Betabel
March Equinox,2025-03-20,Calabacita
March Equinox,2025-03-20,Cebolla
March Equinox,2025-03-20,Chile verde (jalapeño/serrano)
March Equinox,2025-03-20,Col (repollo)
March Equinox,2025-03-20,Coliflor
March Equinox,2025-03-20,Ejote
March Equinox,2025-03-20,Elote (maíz tierno)
March Equinox,2025-03-20,Espinaca
March Equinox,2025-03-20,Jitomate (tomate rojo)
March Equinox,2025-03-20,Lechuga
March Equinox,2025-03-20,Nopal
March Equinox,2025-03-20,Papas fritas clásicas 170 g
March Equinox,2025-03-20,Pepino
March Equinox,2025-03-20,Tomate verde (tomatillo)
March Equinox,2025-03-20,Zanahoria
Benito Juárez's Birthday Memorial,2025-03-21,Aguacate Hass
Benito Juárez's Birthday Memorial,2025-03-21,Lima
Benito Juárez's Birthday Memorial,2025-03-21,Refresco limón 600 ml
Benito Juárez's Birthday Memorial,2025-03-21,Mandarina
Benito Juárez's Birthday Memorial,2025-03-21,Jugo de naranja 1 L
Benito Juárez's Birthday Memorial,2025-03-21,Papaya
Benito Juárez's Birthday Memorial,2025-03-21,Piña
Benito Juárez's Birthday Memorial,2025-03-21,Plátano
Benito Juárez's Birthday Memorial,2025-03-21,Sandía
Benito Juárez's Birthday Memorial,2025-03-21,Tamarindo
Benito Juárez's Birthday Memorial,2025-03-21,Toronja (pomelo)
Benito Juárez's Birthday Memorial,2025-03-21,Acelga
Benito Juárez's Birthday Memorial,2025-03-21,Ajo
Benito Juárez's Birthday Memorial,2025-03-21,Berenjena
Benito Juárez's Birthday Memorial,2025-03-21,Betabel
Benito Juárez's Birthday Memorial,2025-03-21,Calabacita
Benito Juárez's Birthday Memorial,2025-03-21,Cebolla
Benito Juárez's Birthday Memorial,2025-03-21,Chile verde (jalapeño/serrano)
Benito Juárez's Birthday Memorial,2025-03-21,Col (repollo)
Benito Juárez's Birthday Memorial,2025-03-21,Coliflor
Benito Juárez's Birthday Memorial,2025-03-21,Ejote
Benito Juárez's Birthday Memorial,2025-03-21,Elote (maíz tierno)
Benito Juárez's Birthday Memorial,2025-03-21,Espinaca
Benito Juárez's Birthday Memorial,2025-03-21,Jitomate (tomate rojo)
Benito Juárez's Birthday Memorial,2025-03-21,Lechuga
Benito Juárez's Birthday Memorial,2025-03-21,Nopal
Benito Juárez's Birthday Memorial,2025-03-21,Papas fritas clásicas 170 g
Benito Juárez's Birthday Memorial,2025-03-21,Pepino
Benito Juárez's Birthday Memorial,2025-03-21,Tomate verde (tomatillo)
Benito Juárez's Birthday Memorial,2025-03-21,Zanahoria
Palm Sunday,2025-04-13,Aguacate Hass
Palm Sunday,2025-04-13,Lima
Palm Sunday,2025-04-13,Refresco limón 600 ml
Palm Sunday,2025-04-13,Mamey
Palm Sunday,2025-04-13,Mango
Palm Sunday,2025-04-13,Jugo de naranja 1 L
Palm Sunday,2025-04-13,Papaya
Palm Sunday,2025-04-13,Piña
Palm Sunday,2025-04-13,Plátano
Palm Sunday,2025-04-13,Sandía
Palm Sunday,2025-04-13,Tamarindo
Palm Sunday,2025-04-13,Toronja (pomelo)
Palm Sunday,2025-04-13,Acelga
Palm Sunday,2025-04-13,Ajo
Palm Sunday,2025-04-13,Berenjena
Palm Sunday,2025-04-13,Betabel
Palm Sunday,2025-04-13,Calabacita
Palm Sunday,2025-04-13,Cebolla
Palm Sunday,2025-04-13,Chayote
Palm Sunday,2025-04-13,Chile verde (jalapeño/serrano)
Palm Sunday,2025-04-13,Chícharo
Palm Sunday,2025-04-13,Col (repollo)
Palm Sunday,2025-04-13,Coliflor
Palm Sunday,2025-04-13,Ejote
Palm Sunday,2025-04-13,Elote (maíz tierno)
Palm Sunday,2025-04-13,Espinaca
Palm Sunday,2025-04-13,Jitomate (tomate rojo)
Palm Sunday,2025-04-13,Lechuga
Palm Sunday,2025-04-13,Nopal
Palm Sunday,2025-04-13,Papas fritas clásicas 170 g
Palm Sunday,2025-04-13,Pepino
Palm Sunday,2025-04-13,Tomate verde (tomatillo)
Palm Sunday,2025-04-13,Verdolaga
Palm Sunday,2025-04-13,Zanahoria
Maundy Thursday,2025-04-17,Aguacate Hass
Maundy Thursday,2025-04-17,Lima
Maundy Thursday,2025-04-17,Refresco limón 600 ml
Maundy Thursday,2025-04-17,Mamey
Maundy Thursday,2025-04-17,Mango
Maundy Thursday,2025-04-17,Jugo de naranja 1 L
Maundy Thursday,2025-04-17,Papaya
Maundy Thursday,2025-04-17,Piña
Maundy Thursday,2025-04-17,Plátano
Maundy Thursday,2025-04-17,Sandía
Maundy Thursday,2025-04-17,Tamarindo
Maundy Thursday,2025-04-17,Toronja (pomelo)
Maundy Thursday,2025-04-17,Acelga
Maundy Thursday,2025-04-17,Ajo
Maundy Thursday,2025-04-17,Berenjena
Maundy Thursday,2025-04-17,Betabel
Maundy Thursday,2025-04-17,Calabacita
Maundy Thursday,2025-04-17,Cebolla
Maundy Thursday,2025-04-17,Chayote
Maundy Thursday,2025-04-17,Chile verde (jalapeño/serrano)
Maundy Thursday,2025-04-17,Chícharo
Maundy Thursday,2025-04-17,Col (repollo)
Maundy Thursday,2025-04-17,Coliflor
Maundy Thursday,2025-04-17,Ejote
Maundy Thursday,2025-04-17,Elote (maíz tierno)
Maundy Thursday,2025-04-17,Espinaca
Maundy Thursday,2025-04-17,Jitomate (tomate rojo)
Maundy Thursday,2025-04-17,Lechuga
Maundy Thursday,2025-04-17,Nopal
Maundy Thursday,2025-04-17,Papas fritas clásicas 170 g
Maundy Thursday,2025-04-17,Pepino
Maundy Thursday,2025-04-17,Tomate verde (tomatillo)
Maundy Thursday,2025-04-17,Verdolaga
Maundy Thursday,2025-04-17,Zanahoria
Good Friday,2025-04-18,Aguacate Hass
Good Friday,2025-04-18,Lima
Good Friday,2025-04-18,Refresco limón 600 ml
Good Friday,2025-04-18,Mamey
Good Friday,2025-04-18,Mango
Good Friday,2025-04-18,Jugo de naranja 1 L
Good Friday,2025-04-18,Papaya
Good Friday,2025-04-18,Piña
Good Friday,2025-04-18,Plátano
Good Friday,2025-04-18,Sandía
Good Friday,2025-04-18,Tamarindo
Good Friday,2025-04-18,Toronja (pomelo)
Good Friday,2025-04-18,Acelga
Good Friday,2025-04-18,Ajo
Good Friday,2025-04-18,Berenjena
Good Friday,2025-04-18,Betabel
Good Friday,2025-04-18,Calabacita
Good Friday,2025-04-18,Cebolla
Good Friday,2025-04-18,Chayote
Good Friday,2025-04-18,Chile verde (jalapeño/serrano)
Good Friday,2025-04-18,Chícharo
Good Friday,2025-04-18,Col (repollo)
Good Friday,2025-04-18,Coliflor
Good Friday,2025-04-18,Ejote
Good Friday,2025-04-18,Elote (maíz tierno)
Good Friday,2025-04-18,Espinaca
Good Friday,2025-04-18,Jitomate (tomate rojo)
Good Friday,2025-04-18,Lechuga
Good Friday,2025-04-18,Nopal
Good Friday,2025-04-18,Papas fritas clásicas 170 g
Good Friday,2025-04-18,Pepino
Good Friday,2025-04-18,Tomate verde (tomatillo)
Good Friday,2025-04-18,Verdolaga
Good Friday,2025-04-18,Zanahoria
Holy Saturday,2025-04-19,Aguacate Hass
Holy Saturday,2025-04-19,Lima
Holy Saturday,2025-04-19,Refresco limón 600 ml
Holy Saturday,2025-04-19,Mamey
Holy Saturday,2025-04-19,Mango
Holy Saturday,2025-04-19,Jugo de naranja 1 L
Holy Saturday,2025-04-19,Papaya
Holy Saturday,2025-04-19,Piña
Holy Saturday,2025-04-19,Plátano
Holy Saturday,2025-04-19,Sandía
Holy Saturday,2025-04-19,Tamarindo
Holy Saturday,2025-04-19,Toronja (pomelo)
Holy Saturday,2025-04-19,Acelga
Holy Saturday,2025-04-19,Ajo
Holy Saturday,2025-04-19,Berenjena
Holy Saturday,2025-04-19,Betabel
Holy Saturday,2025-04-19,Calabacita
Holy Saturday,2025-04-19,Cebolla
Holy Saturday,2025-04-19,Chayote
Holy Saturday,2025-04-19,Chile verde (jalapeño/serrano)
Holy Saturday,2025-04-19,Chícharo
Holy Saturday,2025-04-19,Col (repollo)
Holy Saturday,2025-04-19,Coliflor
Holy Saturday,2025-04-19,Ejote
Holy Saturday,2025-04-19,Elote (maíz tierno)
Holy Saturday,2025-04-19,Espinaca
Holy Saturday,2025-04-19,Jitomate (tomate rojo)
Holy Saturday,2025-04-19,Lechuga
Holy Saturday,2025-04-19,Nopal
Holy Saturday,2025-04-19,Papas fritas clásicas 170 g
Holy Saturday,2025-04-19,Pepino
Holy Saturday,2025-04-19,Tomate verde (tomatillo)
Holy Saturday,2025-04-19,Verdolaga
Holy Saturday,2025-04-19,Zanahoria
Easter Sunday,2025-04-20,Aguacate Hass
Easter Sunday,2025-04-20,Lima
Easter Sunday,2025-04-20,Refresco limón 600 ml
Easter Sunday,2025-04-20,Mamey
Easter Sunday,2025-04-20,Mango
Easter Sunday,2025-04-20,Jugo de naranja 1 L
Easter Sunday,2025-04-20,Papaya
Easter Sunday,2025-04-20,Piña
Easter Sunday,2025-04-20,Plátano
Easter Sunday,2025-04-20,Sandía
Easter Sunday,2025-04-20,Tamarindo
Easter Sunday,2025-04-20,Toronja (pomelo)
Easter Sunday,2025-04-20,Acelga
Easter Sunday,2025-04-20,Ajo
Easter Sunday,2025-04-20,Berenjena
Easter Sunday,2025-04-20,Betabel
Easter Sunday,2025-04-20,Calabacita
Easter Sunday,2025-04-20,Cebolla
Easter Sunday,2025-04-20,Chayote
Easter Sunday,2025-04-20,Chile verde (jalapeño/serrano)
Easter Sunday,2025-04-20,Chícharo
Easter Sunday,2025-04-20,Col (repollo)
Easter Sunday,2025-04-20,Coliflor
Easter Sunday,2025-04-20,Ejote
Easter Sunday,2025-04-20,Elote (maíz tierno)
Easter Sunday,2025-04-20,Espinaca
Easter Sunday,2025-04-20,Jitomate (tomate rojo)
Easter Sunday,2025-04-20,Lechuga
Easter Sunday,2025-04-20,Nopal
Easter Sunday,2025-04-20,Papas fritas clásicas 170 g
Easter Sunday,2025-04-20,Pepino
Easter Sunday,2025-04-20,Tomate verde (tomatillo)
Easter Sunday,2025-04-20,Verdolaga
Easter Sunday,2025-04-20,Zanahoria
Children's Day,2025-04-30,Aguacate Hass
Children's Day,2025-04-30,Lima
Children's Day,2025-04-30,Refresco limón 600 ml
Children's Day,2025-04-30,Mamey
Children's Day,2025-04-30,Mango
Children's Day,2025-04-30,Jugo de naranja 1 L
Children's Day,2025-04-30,Papaya
Children's Day,2025-04-30,Piña
Children's Day,2025-04-30,Plátano
Children's Day,2025-04-30,Sandía
Children's Day,2025-04-30,Tamarindo
Children's Day,2025-04-30,Toronja (pomelo)
Children's Day,2025-04-30,Acelga
Children's Day,2025-04-30,Ajo
Children's Day,2025-04-30,Berenjena
Children's Day,2025-04-30,Betabel
Children's Day,2025-04-30,Calabacita
Children's Day,2025-04-30,Cebolla
Children's Day,2025-04-30,Chayote
Children's Day,2025-04-30,Chile verde (jalapeño/serrano)
Children's Day,2025-04-30,Chícharo
Children's Day,2025-04-30,Col (repollo)
Children's Day,2025-04-30,Coliflor
Children's Day,2025-04-30,Ejote
Children's Day,2025-04-30,Elote (maíz tierno)
Children's Day,2025-04-30,Espinaca
Children's Day,2025-04-30,Jitomate (tomate rojo)
Children's Day,2025-04-30,Lechuga
Children's Day,2025-04-30,Nopal
Children's Day,2025-04-30,Papas fritas clásicas 170 g
Children's Day,2025-04-30,Pepino
Children's Day,2025-04-30,Tomate verde (tomatillo)
Children's Day,2025-04-30,Verdolaga
Children's Day,2025-04-30,Zanahoria
Labor Day / May Day,2025-05-01,Aguacate Hass
Labor Day / May Day,2025-05-01,Fresa
Labor Day / May Day,2025-05-01,Refresco limón 600 ml
Labor Day / May Day,2025-05-01,Mamey
Labor Day / May Day,2025-05-01,Mango
Labor Day / May Day,2025-05-01,Papaya
Labor Day / May Day,2025-05-01,Piña
Labor Day / May Day,2025-05-01,Plátano
Labor Day / May Day,2025-05-01,Sandía
Labor Day / May Day,2025-05-01,Acelga
Labor Day / May Day,2025-05-01,Ajo
Labor Day / May Day,2025-05-01,Berenjena
Labor Day / May Day,2025-05-01,Betabel
Labor Day / May Day,2025-05-01,Calabacita
Labor Day / May Day,2025-05-01,Cebolla
Labor Day / May Day,2025-05-01,Chayote
Labor Day / May Day,2025-05-01,Chile verde (jalapeño/serrano)
Labor Day / May Day,2025-05-01,Chícharo
Labor Day / May Day,2025-05-01,Col (repollo)
Labor Day / May Day,2025-05-01,Coliflor
Labor Day / May Day,2025-05-01,Ejote
Labor Day / May Day,2025-05-01,Elote (maíz tierno)
Labor Day / May Day,2025-05-01,Espinaca
Labor Day / May Day,2025-05-01,Jitomate (tomate rojo)
Labor Day / May Day,2025-05-01,Lechuga
Labor Day / May Day,2025-05-01,Nopal
Labor Day / May Day,2025-05-01,Papas fritas clásicas 170 g
Labor Day / May Day,2025-05-01,Pepino
Labor Day / May Day,2025-05-01,Tomate verde (tomatillo)
Labor Day / May Day,2025-05-01,Verdolaga
Labor Day / May Day,2025-05-01,Zanahoria
Battle of Puebla (Cinco de Mayo),2025-05-05,Aguacate Hass
Battle of Puebla (Cinco de Mayo),2025-05-05,Fresa
Battle of Puebla (Cinco de Mayo),2025-05-05,Refresco limón 600 ml
Battle of Puebla (Cinco de Mayo),2025-05-05,Mamey
Battle of Puebla (Cinco de Mayo),2025-05-05,Mango
Battle of Puebla (Cinco de Mayo),2025-05-05,Papaya
Battle of Puebla (Cinco de Mayo),2025-05-05,Piña
Battle of Puebla (Cinco de Mayo),2025-05-05,Plátano
Battle of Puebla (Cinco de Mayo),2025-05-05,Sandía
Battle of Puebla (Cinco de Mayo),2025-05-05,Acelga
Battle of Puebla (Cinco de Mayo),2025-05-05,Ajo
Battle of Puebla (Cinco de Mayo),2025-05-05,Berenjena
Battle of Puebla (Cinco de Mayo),2025-05-05,Betabel
Battle of Puebla (Cinco de Mayo),2025-05-05,Calabacita
Battle of Puebla (Cinco de Mayo),2025-05-05,Cebolla
Battle of Puebla (Cinco de Mayo),2025-05-05,Chayote
